Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.23.3.10,SCOI2-2262.,12.06.2020 7:15:19,DHCP,00c026a15dfc,
172.23.3.11,mx1-4056.nkmz.donetsk.ua,01.06.2020 19:58:50,DHCP,0011d85fdbdf,
172.23.3.12,mx1-3438.nkmz.donetsk.ua,12.06.2020 7:10:29,DHCP,00c026a16978,
172.23.3.13,mx1-2550.nkmz.donetsk.ua,12.06.2020 6:48:16,DHCP,00e0187596dd,
172.23.3.14,SCRIOO-2668.nkmz.donetsk.ua,12.06.2020 6:33:38,DHCP,0002b34c9f46,
172.23.3.15,mx1-2660.nkmz.donetsk.ua,11.06.2020 9:24:47,DHCP,00e04ccb5095,
172.23.3.16,MH1-3620.nkmz.donetsk.ua,31.05.2020 10:52:58,DHCP,000ea688e745,
172.23.3.17,mx1-2749.nkmz.donetsk.ua,31.05.2020 7:42:41,DHCP,00e0189956f1,
172.23.3.18,mx1-2930.nkmz.donetsk.ua,12.06.2020 7:47:26,DHCP,00a0d128361c,
172.23.3.19,scrioo-2987.nkmz.donetsk.ua,11.06.2020 7:10:16,DHCP,00c026a1c778,
172.23.3.20,elceh-1236.nkmz.donetsk.ua,12.06.2020 9:04:50,DHCP,008048def981,
172.23.3.21,elceh-2147.nkmz.donetsk.ua,12.06.2020 7:14:32,DHCP,00e01827073c,
172.23.3.22,NKMZ-1807.,12.06.2020 6:53:20,DHCP,00c026a15257,
172.23.3.23,mx13-3183.nkmz.donetsk.ua,11.06.2020 7:54:46,DHCP,000c6e06f7df,
172.23.3.24,mx1-3895.,06.06.2020 10:49:22,DHCP,00112fae810b,
172.23.3.25,MX1-4515.nkmz.donetsk.ua,30.05.2020 7:59:57,DHCP,00155848e06b,
172.23.3.26,mx1-3121.nkmz.donetsk.ua,08.06.2020 10:10:19,DHCP,000c6e06fc5d,
172.23.3.27,SCOI2-2228.nkmz.donetsk.ua,12.06.2020 7:05:47,DHCP,00e01826cbb3,
172.23.3.28,Mx13-2088.nkmz.donetsk.ua,04.06.2020 13:10:52,DHCP,5cd998f81ed4,
172.23.3.29,mx1-4173.nkmz.donetsk.ua,09.06.2020 9:07:53,DHCP,00a0d21d93b1,
172.23.3.30,ogmetr-3761.,12.06.2020 7:30:55,DHCP,000e0c762fd6,
172.23.3.31,mx1-2006.nkmz.donetsk.ua,12.06.2020 6:53:43,DHCP,00e0182710fb,
172.23.3.32,MX1-16043.nkmz.donetsk.ua,10.06.2020 13:21:56,DHCP,001b1bf5abc0,
172.23.3.33,mh1-3146.nkmz.donetsk.ua,22.05.2020 19:22:01,DHCP,000c6e06f62a,
172.23.3.35,mx1-4239.nkmz.donetsk.ua,12.06.2020 7:00:44,DHCP,000c6eb2a8f1,
172.23.3.36,SCOI2-3486.nkmz.donetsk.ua,12.06.2020 6:14:04,DHCP,0002b34c9fb1,
172.23.3.37,mh1-2497.nkmz.donetsk.ua,12.06.2020 7:23:45,DHCP,00e018626ecb,
172.23.3.38,mx1-2750.nkmz.donetsk.ua,12.06.2020 6:17:57,DHCP,00e018995540,
172.23.3.40,mx1-1801.nkmz.donetsk.ua,12.06.2020 7:23:38,DHCP,00c026a16159,
172.23.3.41,scoi-3529.nkmz.donetsk.ua,12.06.2020 7:09:53,DHCP,00e0189956d3,
172.23.3.42,scoi2-3527.nkmz.donetsk.ua,12.06.2020 6:58:31,DHCP,000c6edd00f6,
172.23.3.43,scrioo-4137.nkmz.donetsk.ua,11.06.2020 7:59:05,DHCP,0011d8b562a3,
172.23.3.44,mx13-1803.nkmz.donetsk.ua,04.06.2020 13:07:31,DHCP,00c026a157f0,
172.23.3.45,,11.06.2020 6:53:10,DHCP,001ff83936ec,
172.23.3.46,mx1-6145.nkmz.donetsk.ua,12.06.2020 11:27:16,DHCP,408d5c629dd8,
172.23.3.47,mx1-4615.,06.06.2020 9:08:46,DHCP,0002b3b58199,
172.23.3.48,mx1-1320.nkmz.donetsk.ua,12.06.2020 6:58:54,DHCP,0004761383c2,
172.23.3.49,MH1-4011.nkmz.donetsk.ua,12.06.2020 7:41:10,DHCP,000c6e06fc08,
172.23.3.50,scoi2-3530,Reservation (inactive),None,000c6edd00e8,
172.23.3.51,mx1-3251.,12.06.2020 9:12:15,DHCP,000c6e06f6dc,
172.23.3.52,mx1-3913.,08.06.2020 8:38:32,DHCP,00112fadb7e2,
172.23.3.53,MX1-5197.nkmz.donetsk.ua,31.05.2020 14:24:06,DHCP,d05099226422,
172.23.3.54,mx1-5957.nkmz.donetsk.ua,12.06.2020 7:47:35,DHCP,902b3407a7e5,
172.23.3.56,CSOI2-2231.,12.06.2020 7:04:22,DHCP,00e01809edf9,
172.23.3.58,mx1-5955.nkmz.donetsk.ua,12.06.2020 7:05:05,DHCP,902b3409bff9,
172.23.3.59,mx1-6144.nkmz.donetsk.ua,12.06.2020 6:58:11,DHCP,408d5c6294fa,
172.23.3.60,scoi2-3528.,12.06.2020 12:30:24,DHCP,000c6edbc85a,
172.23.3.61,elceh-1242.nkmz.donetsk.ua,11.06.2020 7:07:35,DHCP,00a0d21d157a,
172.23.3.62,mx1-2748.nkmz.donetsk.ua,11.06.2020 7:06:59,DHCP,00e0189954ef,
172.23.3.63,mx1-2660.nkmz.donetsk.ua,21.05.2020 6:56:57,DHCP,00c026a49a7c,
172.23.3.64,mh1-1816.nkmz.donetsk.ua,11.06.2020 7:00:29,DHCP,00c026a192c7,
172.23.3.65,scoi2-1876.nkmz.donetsk.ua,12.06.2020 6:27:00,DHCP,000ea650fabb,
172.23.3.67,Mx1-6173.,12.06.2020 7:00:48,DHCP,000ea650f4df,
172.23.3.69,scrioo-2759.,12.06.2020 7:05:54,DHCP,00e0189956f0,
172.23.3.70,Videoregistrator,Reservation (inactive),None,112233445577,
172.23.3.71,mx1-1898.nkmz.donetsk.ua,12.06.2020 10:42:49,DHCP,00c026a15b08,
172.23.3.73,mx1-2428.nkmz.donetsk.ua,11.06.2020 6:51:29,DHCP,00c026a89f83,
172.23.3.75,mx1-5956.nkmz.donetsk.ua,05.06.2020 6:55:54,DHCP,902b34088b52,
172.23.3.76,ogmetr-6278.nkmz.donetsk.ua,Reservation (active),DHCP,2c56dc3eec70,Delta
172.23.3.79,mx1-6430.nkmz.donetsk.ua,27.05.2020 13:02:51,DHCP,e0d55e04128b,
172.23.3.100,switch,Reservation (inactive),None,112233445566,
172.23.3.101,Koburg1,Reservation (inactive),None,2121,
172.23.3.102,Koburg2,Reservation (inactive),None,3232,
172.23.3.103,Koburg3,Reservation (inactive),None,043432,
172.23.3.104,Koburg4,Reservation (inactive),None,0321,
172.23.3.105,Koburg5,Reservation (inactive),None,4342,
172.23.3.106,Koburg6,Reservation (inactive),None,045123,
