Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.22.103.10,ogmetr-3986.,11.06.2020 7:10:28,DHCP,00112fe192ea,
172.22.103.11,,01.06.2020 3:14:35,DHCP,4419b66df297,
172.22.103.12,mh3-5059.,04.05.2020 13:18:02,DHCP,00112fbe805b,
172.22.103.13,mh3-3222.nkmz.donetsk.ua,12.06.2020 6:56:45,DHCP,000c6e06f850,
172.22.103.14,2211,Reservation (inactive),None,878765754453,
172.22.103.15,mh3-3222.nkmz.donetsk.ua,12.06.2020 6:59:48,DHCP,RAS,
172.22.103.16,mh3-3548.nkmz.donetsk.ua,12.06.2020 6:41:03,DHCP,000c6e06fc4a,
172.22.103.17,MH3-5961.nkmz.donetsk.ua,28.05.2020 6:41:55,DHCP,902b3408057f,
172.22.103.18,mh3-1337.nkmz.donetsk.ua,06.06.2020 0:08:10,DHCP,000ea650f67a,
172.22.103.19,MH3-4701.nkmz.donetsk.ua,12.06.2020 7:09:49,DHCP,0015f244e63c,
172.22.103.20,mh3-4547.nkmz.donetsk.ua,12.06.2020 6:29:07,DHCP,00155848e07b,
172.22.103.21,mh3-3385.nkmz.donetsk.ua,12.06.2020 6:19:49,DHCP,008048b59601,
172.22.103.22,mh3-3896.nkmz.donetsk.ua,12.06.2020 8:03:59,DHCP,00112fadd687,
172.22.103.23,mh3-bpp-1.,12.06.2020 7:07:38,DHCP,00502281e2a3,
172.22.103.24,mh3-4529.nkmz.donetsk.ua,12.06.2020 6:23:18,DHCP,00155848e11d,
172.22.103.25,mh3-3263.nkmz.donetsk.ua,07.06.2020 12:48:05,DHCP,000c6eb3c5b1,
172.22.103.26,mh3-2382.nkmz.donetsk.ua,11.06.2020 14:08:45,DHCP,00e018270199,
172.22.103.27,mh3-6189.nkmz.donetsk.ua,11.06.2020 19:33:09,DHCP,0011d80bf908,
172.22.103.28,mh3-3210,Reservation (inactive),None,068586965655,
172.22.103.30,mh3-3163.nkmz.donetsk.ua,12.06.2020 11:31:16,DHCP,000ea650f4da,
172.22.103.31,mh3-4530.nkmz.donetsk.ua,05.06.2020 6:48:29,DHCP,00155848e0d6,
172.22.103.32,NKMZ-3839.,12.06.2020 6:11:42,DHCP,00112fc91261,
172.22.103.33,mh3-bpp-2.nkmz.donetsk.ua,12.06.2020 7:21:36,DHCP,0022153b4115,
172.22.103.34,mh3-3222.nkmz.donetsk.ua,12.06.2020 6:59:52,DHCP,RAS,
172.22.103.35,MH3-5022.nkmz.donetsk.ua,12.06.2020 7:10:00,DHCP,000c6e0b8ad2,
172.22.103.36,WIN-KVFQP0LMI32.nkmz.donetsk.ua,07.06.2020 7:48:56,DHCP,00237dbe91fc,
172.22.103.37,mh3-bpp-4.nkmz.donetsk.ua,30.04.2020 8:49:40,DHCP,001fc6e118f5,
172.22.103.38,mh3-2634.nkmz.donetsk.ua,12.06.2020 8:04:16,DHCP,0002b3b590f7,
172.22.103.39,mh3-bpp-3.nkmz.donetsk.ua,12.06.2020 7:10:44,DHCP,001fc6e11bfc,
172.22.103.40,mh3-4002.nkmz.donetsk.ua,12.06.2020 7:56:21,DHCP,00c026a15b52,
172.22.103.41,reflektometr,Reservation (inactive),None,00000000000000000000,
172.22.103.42,mh3-6313.nkmz.donetsk.ua,12.06.2020 6:34:32,DHCP,1c1b0db835ae,
172.22.103.43,MH3-1641.,11.06.2020 0:05:57,DHCP,00a0d21d93c0,
172.22.103.44,mh3-3196.,12.06.2020 7:06:37,DHCP,000021ff9b6a,
172.22.103.45,Mh3-1469.nkmz.donetsk.ua,12.06.2020 6:43:10,DHCP,00e01826febf,
172.22.103.46,mh3-6442.nkmz.donetsk.ua,09.06.2020 22:42:05,DHCP,e0d55e0452e7,
172.22.103.47,mh3-6472.nkmz.donetsk.ua,12.06.2020 7:04:14,DHCP,00138f71b833,
172.22.103.48,mh3-6314.nkmz.donetsk.ua,12.06.2020 7:07:16,DHCP,1c1b0db8360b,
172.22.103.49,xp-6315.nkmz.donetsk.ua,11.05.2020 17:04:49,DHCP,080027be61fa,
172.22.103.50,mh3-6315.nkmz.donetsk.ua,11.06.2020 6:33:29,DHCP,1c1b0db83ad8,
172.22.103.51,mh3-2637.nkmz.donetsk.ua,11.06.2020 8:37:32,DHCP,000021008fef,
172.22.103.52,WIN-KVFQP0LMI32.nkmz.donetsk.ua,23.05.2020 12:15:22,DHCP,004095302eeb,
172.22.103.53,mh3-5059.,12.06.2020 6:35:33,DHCP,000180552505,
172.22.103.54,scrioo-4196.nkmz.donetsk.ua,12.06.2020 6:49:04,DHCP,000ea64d84a1,
172.22.103.55,MH3-4826.nkmz.donetsk.ua,12.06.2020 8:02:35,DHCP,0013d4b387d4,
172.22.103.100,Mx3_SW,Reservation (inactive),None,7777,
172.22.103.105,Mx3_SW1,Reservation (inactive),None,16547677,
