Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.24.104.120,vohr-2731.nkmz.donetsk.ua,Reservation (active),DHCP,0002b3c88daf,
172.24.104.121,vohr-2110.,21.05.2020 11:40:54,DHCP,0000214d33b8,
172.24.104.122,nkmz-6306.nkmz.donetsk.ua,12.06.2020 7:34:26,DHCP,1c1b0db833d2,
172.24.104.123,NKMZ-2640.nkmz.donetsk.ua,12.06.2020 11:02:26,DHCP,008048b7d629,
172.24.104.124,vohr-2639.nkmz.donetsk.ua,01.06.2020 18:30:14,DHCP,0002b3b592ec,
172.24.104.125,vohr-mx14.nkmz.donetsk.ua,01.06.2020 8:13:54,DHCP,d017c2ada35d,
172.24.104.126,NKMZ-2679.nkmz.donetsk.ua,23.05.2020 9:08:57,DHCP,0002b3b55ef4,
172.24.104.127,vohr-4199.nkmz.donetsk.ua,30.05.2020 10:45:12,DHCP,0015f244cc6b,
172.24.104.128,vohr-espc.nkmz.donetsk.ua,24.05.2020 14:58:01,DHCP,94de80784497,
172.24.104.129,nkmz-6809.nkmz.donetsk.ua,08.06.2020 20:36:32,DHCP,b42e997f4429,
172.24.104.130,vohr-2277.,12.06.2020 11:44:15,DHCP,00e018636887,
172.24.104.131,video-server.nkmz.donetsk.ua,07.06.2020 9:07:32,DHCP,94de80e26977,
172.24.104.132,vohr-3131.,12.06.2020 7:05:52,DHCP,000c6e06f75c,
172.24.104.133,vohr-4525.nkmz.donetsk.ua,04.06.2020 22:36:51,DHCP,00173151d060,
172.24.104.134,VOHR-6587.nkmz.donetsk.ua,01.06.2020 10:51:28,DHCP,e0d55e7be334,
172.24.104.136,VOHR-6562.nkmz.donetsk.ua,31.05.2020 14:40:12,DHCP,e0d55ebe19e0,
172.24.104.137,VOHR-5077.nkmz.donetsk.ua,11.06.2020 11:01:07,DHCP,00c026a8a20e,
172.24.104.138,NKMZ-3675.nkmz.donetsk.ua,12.06.2020 11:51:41,DHCP,00112f7e08ec,
172.24.104.139,nkmz-6537.nkmz.donetsk.ua,12.06.2020 5:38:30,DHCP,e0d55eb50283,
172.24.104.140,Videoregistrator,Reservation (inactive),None,334422558877,ֲתוחה-גûוחה
172.24.104.141,vohr-6538.nkmz.donetsk.ua,12.06.2020 6:34:46,DHCP,e0d55ebe174f,
