Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.22.101.10,uvofrp-5327.nkmz.donetsk.ua,07.06.2020 10:43:56,DHCP,1c6f65ad7b27,
172.22.101.11,uvofrp-6413.nkmz.donetsk.ua,12.06.2020 7:55:49,DHCP,107b44f0f7a0,
172.22.101.12,UVOFRP-5968.nkmz.donetsk.ua,25.05.2020 9:52:47,DHCP,902b340750e3,
172.22.101.13,uks-4893.,25.05.2020 8:34:33,DHCP,bc5ff46fa7c5,
172.22.101.14,UVOFRP-5330.gb.nkmz.donetsk.ua,15.05.2020 15:21:03,DHCP,1c6f65ad8184,
172.22.101.15,RedmiNote3-Sk_redminote3.nkmz.donetsk.ua,12.06.2020 11:36:37,DHCP,64cc2eb89036,
172.22.101.16,NKMZ-5216.nkmz.donetsk.ua,12.06.2020 8:14:17,DHCP,d05099226376,
172.22.101.17,gb,Reservation (inactive),None,0000000000000000000000000000000000,
172.22.101.18,uvofrp-5846.nkmz.donetsk.ua,12.06.2020 8:11:24,DHCP,902b34a01a54,
172.22.101.19,uvofrp-2853.,12.06.2020 12:19:55,DHCP,00c026a182c6,
172.22.101.20,UKS-5953.nkmz.donetsk.ua,25.05.2020 7:34:25,DHCP,902b3408a864,
172.22.101.21,iPhone-Irina.nkmz.donetsk.ua,12.06.2020 10:30:00,DHCP,8c8ef22edf96,
172.22.101.22,nkmz-5333.nkmz.donetsk.ua,12.06.2020 9:57:38,DHCP,1c6f65ad7b96,
172.22.101.23,uks-3928.nkmz.donetsk.ua,12.06.2020 8:03:38,DHCP,000ea6947a42,
172.22.101.24,nkmz-6273.nkmz.donetsk.ua,12.06.2020 12:16:09,DHCP,1c1b0db83ace,
172.22.101.25,ostr-5623.nkmz.donetsk.ua,12.06.2020 8:29:41,DHCP,50e54987eb42,
172.22.101.26,Galaxy-S10e.nkmz.donetsk.ua,12.06.2020 11:37:11,DHCP,a8db03ebe4f3,
172.22.101.27,smu-6457.nkmz.donetsk.ua,12.06.2020 8:14:47,DHCP,e0d55e03a92f,
172.22.101.28,RedmiNote4-Redmi.nkmz.donetsk.ua,Reservation (active),DHCP,acc1eed2a1f5,
172.22.101.29,nkmz-6301.nkmz.donetsk.ua,12.06.2020 7:23:21,DHCP,1c1b0db839bb,
172.22.101.30,uvofrp-6415.nkmz.donetsk.ua,12.06.2020 7:46:02,DHCP,107b44f0f7c5,
172.22.101.31,UVOFRP-5334.nkmz.donetsk.ua,12.06.2020 7:47:46,DHCP,1c6f65ad7b84,
172.22.101.32,UVOFRP-5331.nkmz.donetsk.ua,12.06.2020 6:52:58,DHCP,1c6f65ad7b16,
172.22.101.33,ostr-6849.nkmz.donetsk.ua,12.06.2020 8:02:38,DHCP,a85e4516fb86,
172.22.101.34,uvofrp-6404.nkmz.donetsk.ua,12.06.2020 7:34:55,DHCP,107b4417b9c6,
172.22.101.35,CanonBB70AD.nkmz.donetsk.ua,12.06.2020 7:24:55,DHCP,f48139bb70ad,
172.22.101.36,NKMZ-5844.nkmz.donetsk.ua,12.06.2020 8:07:55,DHCP,902b349d5ab1,
172.22.101.37,UVOFRP-5582.nkmz.donetsk.ua,12.06.2020 7:04:36,DHCP,50e549881e19,
172.22.101.38,gb-6844.gb.nkmz.donetsk.ua,12.06.2020 8:10:53,DHCP,a85e4516fbaf,
172.22.101.39,nkmz-5329.nkmz.donetsk.ua,12.06.2020 8:11:37,DHCP,1c6f65ad7b05,
