Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.22.106.10,mh11-2841.nkmz.donetsk.ua,12.06.2020 6:35:41,DHCP,008048b7cec5,
172.22.106.11,mh18-2280.,12.06.2020 6:56:30,DHCP,00e0180a0fc3,
172.22.106.12,mh18-1646.nkmz.donetsk.ua,11.06.2020 10:23:09,DHCP,000e0c746dda,
172.22.106.13,mh11-2685.,12.06.2020 6:49:09,DHCP,0002b3b58b2a,
172.22.106.14,mh18-1883.,Reservation (active),DHCP,00c026a14efe,
172.22.106.15,mh18-2488.nkmz.donetsk.ua,Reservation (active),DHCP,00e01865f8e2,
172.22.106.16,mh18-1633.,Reservation (active),DHCP,005004369aa8,
172.22.106.17,NKMZ-3614.nkmz.donetsk.ua,12.06.2020 6:41:00,DHCP,000ea6c6aece,
172.22.106.18,mh18-3144.,04.06.2020 7:36:38,DHCP,00c026a813a4,
172.22.106.19,mh11-4558.nkmz.donetsk.ua,12.06.2020 6:40:38,DHCP,RAS,
172.22.106.20,OGMETR-2191.,12.06.2020 7:40:59,DHCP,00e018270006,
172.22.106.21,scoi3-3659.nkmz.donetsk.ua,12.06.2020 6:23:24,DHCP,c83a35dc4c07,
172.22.106.22,OTK-5914.nkmz.donetsk.ua,12.06.2020 7:46:32,DHCP,902b340023b0,
172.22.106.23,mh11-6050.nkmz.donetsk.ua,12.06.2020 7:55:38,DHCP,50465db77f32,
172.22.106.24,mh11-4558.nkmz.donetsk.ua,12.06.2020 6:40:42,DHCP,RAS,
172.22.106.25,mh18-3223.nkmz.donetsk.ua,12.06.2020 6:55:46,DHCP,00a0d21d8b74,
172.22.106.26,scoi1-3534.nkmz.donetsk.ua,12.06.2020 7:25:46,DHCP,000c6edd06a8,
172.22.106.27,,12.06.2020 6:09:53,DHCP,001ff839379b,
172.22.106.28,OTK-5925.nkmz.donetsk.ua,12.06.2020 10:49:23,DHCP,902b3407bbc3,
172.22.106.29,oio-4200.nkmz.donetsk.ua,12.06.2020 7:43:19,DHCP,0011d8b14d61,
172.22.106.30,mh11-1528.nkmz.donetsk.ua,12.06.2020 7:04:32,DHCP,008048b5ab38,
172.22.106.31,mh11-3258.nkmz.donetsk.ua,12.06.2020 11:30:07,DHCP,00a0d21d8c93,
172.22.106.33,mh18-3384.nkmz.donetsk.ua,12.06.2020 12:40:01,DHCP,0002b3c88f64,
172.22.106.34,mh18-2529.nkmz.donetsk.ua,12.06.2020 6:30:44,DHCP,00e0187596d4,
172.22.106.36,mh11-2379.nkmz.donetsk.ua,10.05.2020 7:21:07,DHCP,0030843a3f1f,
172.22.106.37,mh18-6437.nkmz.donetsk.ua,28.05.2020 7:45:24,DHCP,e0d55e05f5cb,
172.22.106.38,otk-5922.nkmz.donetsk.ua,12.06.2020 7:30:43,DHCP,902b3407c6e3,
172.22.106.39,otk-5918.nkmz.donetsk.ua,12.06.2020 7:08:05,DHCP,902b3407c60d,
172.22.106.40,mh11-3982.nkmz.donetsk.ua,12.06.2020 8:18:20,DHCP,0800066ea73d,
172.22.106.41,scrioo-3273.,12.06.2020 8:03:18,DHCP,0002b3c88c63,
172.22.106.42,mh18-1501.nkmz.donetsk.ua,12.06.2020 7:01:21,DHCP,008048b5b740,
172.22.106.43,mh11-3919.nkmz.donetsk.ua,11.06.2020 6:43:03,DHCP,00112fadd689,
172.22.106.44,oiao-4637.,12.06.2020 7:55:54,DHCP,00173179c36c,
172.22.106.45,otk-5921.nkmz.donetsk.ua,12.06.2020 7:25:02,DHCP,902b3407bea3,
172.22.106.47,mh18-6153.nkmz.donetsk.ua,12.06.2020 6:53:04,DHCP,408d5c6297d3,
172.22.106.48,oiao-6290.nkmz.donetsk.ua,12.06.2020 7:43:09,DHCP,1c1b0db83abb,
172.22.106.49,mh18-4220.nkmz.donetsk.ua,11.06.2020 7:19:43,DHCP,001d600b5fbb,
172.22.106.50,mh18-4563.nkmz.donetsk.ua,12.06.2020 7:05:21,DHCP,50e549dc494d,
172.22.106.51,MH11-4111.nkmz.donetsk.ua,08.05.2020 11:51:19,DHCP,000ea64d827d,
172.22.106.52,mh18-3231.nkmz.donetsk.ua,12.06.2020 6:50:56,DHCP,000c6e06f2e5,
172.22.106.53,mh11-4558.nkmz.donetsk.ua,12.06.2020 6:39:58,DHCP,00155848e06c,
172.22.106.54,mh18-4221.nkmz.donetsk.ua,12.06.2020 6:41:17,DHCP,0013d45bc87e,
172.22.106.55,mh11-2791.nkmz.donetsk.ua,11.06.2020 6:36:33,DHCP,e0cb4eb62d14,
172.22.106.56,mh18-5574.nkmz.donetsk.ua,12.06.2020 6:22:16,DHCP,1c6f65c1227a,
172.22.106.57,NKMZ-2664.nkmz.donetsk.ua,12.06.2020 6:20:32,DHCP,0002b3b59102,
172.22.106.58,mh11-4552.nkmz.donetsk.ua,12.06.2020 6:29:05,DHCP,001558477144,
172.22.106.59,mh18-3230.nkmz.donetsk.ua,12.06.2020 7:03:35,DHCP,000c6e06f7d7,
172.22.106.60,otk-5919.nkmz.donetsk.ua,12.06.2020 10:47:46,DHCP,902b3409c909,
172.22.106.61,mh11-2380.nkmz.donetsk.ua,12.06.2020 6:31:13,DHCP,00e018270748,
172.22.106.62,mh18-2473.nkmz.donetsk.ua,12.06.2020 6:58:22,DHCP,00e0184ecd7a,
172.22.106.63,mh18-4564.nkmz.donetsk.ua,11.06.2020 6:31:29,DHCP,001d600e2aac,
172.22.106.64,,01.06.2020 1:42:06,DHCP,4419b66df12e,
172.22.106.65,otk-5542-a.nkmz.donetsk.ua,12.06.2020 6:15:29,DHCP,1c6f65c1da60,
172.22.106.66,NKMZ-3621.nkmz.donetsk.ua,10.06.2020 18:52:28,DHCP,000ea688e9c2,
172.22.106.67,Mh18-4562.,12.06.2020 7:01:14,DHCP,00155848e10d,
172.22.106.68,mh18-2386.nkmz.donetsk.ua,12.06.2020 6:59:59,DHCP,00e018602c56,
172.22.106.69,NKMZ-3622.,12.06.2020 6:41:31,DHCP,000000000000,
172.22.106.70,NKMZ-5020.,12.06.2020 11:21:55,DHCP,001d60d82db1,
172.22.106.72,nkmz-5159.nkmz.donetsk.ua,12.06.2020 10:25:53,DHCP,1c6f65c12dc0,
