Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.26.0.10,CanonD9D26E.nkmz.donetsk.ua,12.06.2020 12:38:46,DHCP,001e8fd9d26e,
172.26.0.11,po431-111.nkmz.donetsk.ua,12.06.2020 7:52:34,DHCP,1c6f65ad7b69,
172.26.0.12,oiao-6218.nkmz.donetsk.ua,12.06.2020 8:04:16,DHCP,408d5cab0213,
172.26.0.13,,01.06.2020 8:45:10,DHCP,4419b66df1c3,
172.26.0.14,oio-5170.nkmz.donetsk.ua,12.06.2020 7:26:19,DHCP,1c6f6577279a,
172.26.0.15,po431-74.nkmz.donetsk.ua,12.06.2020 8:04:05,DHCP,001bfcaac4f4,
172.26.0.16,po339-4.nkmz.donetsk.ua,12.06.2020 7:32:13,DHCP,RAS,
172.26.0.17,po322-60.nkmz.donetsk.ua,12.06.2020 7:34:01,DHCP,001731186632,
172.26.0.18,po422-173.nkmz.donetsk.ua,11.06.2020 18:30:43,DHCP,e0d55e0c90bf,
172.26.0.19,po316-71.nkmz.donetsk.ua,12.06.2020 6:44:34,DHCP,001bfc3800c3,
172.26.0.20,po323-60.nkmz.donetsk.ua,12.06.2020 7:44:25,DHCP,0015f244ca97,
172.26.0.21,po509-77.nkmz.donetsk.ua,12.06.2020 7:38:42,DHCP,001bfcaac48b,
172.26.0.22,po422-70.nkmz.donetsk.ua,05.06.2020 8:23:40,DHCP,001bfcac0cca,
172.26.0.23,csh-5041.nkmz.donetsk.ua,12.06.2020 8:22:06,DHCP,001bfc74c7d8,
172.26.0.24,po431-171.nkmz.donetsk.ua,12.06.2020 7:48:07,DHCP,1c1b0db838b2,
172.26.0.25,po322-112.nkmz.donetsk.ua,12.06.2020 7:43:42,DHCP,1c6f65ad7b85,
172.26.0.26,oio-5522.nkmz.donetsk.ua,Reservation (active),DHCP,50e54934a823,Воротняк к.425
172.26.0.27,omikpmo-3905.nkmz.donetsk.ua,12.06.2020 8:35:06,DHCP,00e04c804d86,
172.26.0.28,nkmz-6492.nkmz.donetsk.ua,12.06.2020 7:52:06,DHCP,e0d55eb6cddb,
172.26.0.29,po316-191.nkmz.donetsk.ua,12.06.2020 7:50:42,DHCP,e0d55e7be183,
172.26.0.30,PO422-5100.nkmz.donetsk.ua,06.06.2020 10:49:35,DHCP,00306efe74b9,
172.26.0.31,omk-6280.nkmz.donetsk.ua,12.06.2020 7:52:28,DHCP,1c1b0d44c7ad,
172.26.0.32,PO435a-73.nkmz.donetsk.ua,12.06.2020 7:46:38,DHCP,001bfc38011f,
172.26.0.33,po413-122.nkmz.donetsk.ua,12.06.2020 13:07:48,DHCP,902b349fb556,
172.26.0.34,omikpmo-3394.nkmz.donetsk.ua,12.06.2020 7:55:20,DHCP,0050fc6eadb4,
172.26.0.35,ogmet-5279.nkmz.donetsk.ua,12.06.2020 7:53:07,DHCP,1c6f65ad7b40,
172.26.0.36,PO420-73.nkmz.donetsk.ua,12.06.2020 7:57:54,DHCP,001bfc32b806,
172.26.0.37,111,Reservation (inactive),None,345676545754,
172.26.0.38,markpmo-3906.nkmz.donetsk.ua,12.06.2020 10:00:32,DHCP,00112fadcf04,
172.26.0.39,po509-112.nkmz.donetsk.ua,12.06.2020 7:53:34,DHCP,1c6f65ad7b6c,
172.26.0.40,BDSHO-KIE.nkmz.donetsk.ua,12.06.2020 8:08:16,DHCP,902b34a026b9,
172.26.0.41,markpmo-4572.nkmz.donetsk.ua,12.06.2020 8:41:23,DHCP,00155848e0a5,
