Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.27.3.2,111,Reservation (inactive),None,0000101011,
172.27.3.3,OISOU-5546.nkmz.donetsk.ua,20.05.2020 3:03:03,DHCP,1c6f65c11d95,
172.27.3.4,oisou-5619.nkmz.donetsk.ua,12.06.2020 6:57:56,DHCP,50e5498829e8,
172.27.3.5,1441,Reservation (inactive),None,00010111,
172.27.3.6,oisou-5848.nkmz.donetsk.ua,12.06.2020 7:23:10,DHCP,4cedfbcb900e,
172.27.3.7,NOISOU.nkmz.donetsk.ua,31.05.2020 15:42:37,DHCP,245ebe1cef2b,
172.27.3.8,oisou-w2k-xp.,29.05.2020 9:40:38,DHCP,0800270b0d1e,
172.27.3.9,nkmz-6214.nkmz.donetsk.ua,12.06.2020 7:55:48,DHCP,1c1b0db83687,
172.27.3.10,NAS-5186.nkmz.donetsk.ua,22.05.2020 13:29:04,DHCP,000c29fb8c10,
172.27.3.11,oisou-6168.nkmz.donetsk.ua,Reservation (active),DHCP,408d5c629e55,
172.27.3.12,oisou-6169.nkmz.donetsk.ua,Reservation (inactive),None,6754332678,
172.27.3.13,ODIR-5258.nkmz.donetsk.ua,12.06.2020 9:34:31,DHCP,1c6f65ad8046,
172.27.3.14,oisou-5178.nkmz.donetsk.ua,Reservation (inactive),None,1c6f65771e8b,
172.27.3.15,Roman Vinshu,Reservation (inactive),None,e0d55e7be3,Roman Vinshu
172.27.3.16,oisou-5179.nkmz.donetsk.ua,Reservation (active),DHCP,1c6f65771c73,
172.27.3.17,oisou-5177.nkmz.donetsk.ua,Reservation (active),DHCP,1c6f657724c9,
172.27.3.18,oisou-5606.nkmz.donetsk.ua,Reservation (active),DHCP,50e549881e21,
172.27.3.19,OISOU-6454.nkmz.donetsk.ua,Reservation (active),DHCP,50e5498829a2,
172.27.3.20,oisou-5152.nkmz.donetsk.ua,Reservation (inactive),None,1c6f6576d60d,
172.27.3.21,OISOU-5153.nkmz.donetsk.ua,Reservation (inactive),None,1c6f6576d604,MiroshnichenkoAV
172.27.3.22,oisou-5154vm.nkmz.donetsk.ua,11.05.2020 10:44:48,DHCP,080027255546,
172.27.3.23,BAD_ADDRESS,28.04.2020 12:53:36,DHCP,17031bac,Этот IP-адрес уже используется
172.27.3.24,nkmz-6212.nkmz.donetsk.ua,12.06.2020 7:24:11,DHCP,408d5cad7414,
172.27.3.25,oisou-3934,Reservation (inactive),None,00112f40992a,
172.27.3.26,oisou-6455.nkmz.donetsk.ua,12.06.2020 11:50:44,DHCP,e0d55e0c90e2,
172.27.3.27,oisou-5167.nkmz.donetsk.ua,12.06.2020 7:06:14,DHCP,9c6f65769a23,
172.27.3.28,oisou-5611.nkmz.donetsk.ua,30.05.2020 15:00:46,DHCP,50e549882fbb,
172.27.3.29,iPhone-Alex.nkmz.donetsk.ua,31.05.2020 8:21:57,DHCP,9ce65e0d6fad,
172.27.3.30,zak-netbook.,29.05.2020 7:57:08,DHCP,002454cfd5f7,
172.27.3.31,AS1-TEST2.nkmz.donetsk.ua,12.06.2020 11:53:50,DHCP,080027cf2d85,
172.27.3.32,OISOU-5547.nkmz.donetsk.ua,12.06.2020 6:48:58,DHCP,1c6f65c1197d,
172.27.3.33,oisou-4100.nkmz.donetsk.ua,Reservation (inactive),None,003067d4dbfe,
172.27.3.35,oisou-5620.nkmz.donetsk.ua,Reservation (inactive),None,50e54987efde,
172.27.3.36,oisou-5771.nkmz.donetsk.ua,Reservation (active),DHCP,902b349868a2,
172.27.3.37,nkmz-6571.nkmz.donetsk.ua,27.05.2020 6:05:51,DHCP,e0d55e79baa2,
172.27.3.38,zak-netbook.,29.05.2020 10:46:25,DHCP,001bb14fb63f,
172.27.3.39,OISOU-2632.nkmz.donetsk.ua,Reservation (inactive),None,0002b3b58d8f,
172.27.3.40,OISOU-5217.nkmz.donetsk.ua,Reservation (active),DHCP,1c6f65771c66,
172.27.3.41,oisou-5615.nkmz.donetsk.ua,Reservation (active),DHCP,50e549260bb9,
172.27.3.42,oisou-5155.nkmz.donetsk.ua,12.06.2020 8:37:26,DHCP,000c295cf2de,
172.27.3.43,oisou-5215.nkmz.donetsk.ua,Reservation (inactive),None,1c6f657726bc,TхЁуххтр T. A.
172.27.3.44,oisou-5770.nkmz.donetsk.ua,12.06.2020 7:46:31,DHCP,902b349fbdf7,
172.27.3.45,iPad-Sofy.nkmz.donetsk.ua,30.05.2020 11:54:47,DHCP,d04f7e6c1ac3,
172.27.3.47,oisou-5219.nkmz.donetsk.ua,Reservation (active),DHCP,1c6f657726c4,oisou-5219
172.27.3.48,oisou-5612.nkmz.donetsk.ua,Reservation (active),DHCP,50e549881d58,
172.27.3.49,OISOU-6344.nkmz.donetsk.ua,Reservation (active),DHCP,1c1b0db83428,
172.27.3.50,oisou-6195.nkmz.donetsk.ua,Reservation (active),DHCP,408d5ca828b9,
172.27.3.51,oisou-5159.nkmz.donetsk.ua,Reservation (active),DHCP,1c6f65c12dc0,
172.27.3.52,iPhone-Irina.nkmz.donetsk.ua,31.05.2020 8:45:47,DHCP,f40e0106b616,
172.27.3.53,oisou-5264.nkmz.donetsk.ua,12.06.2020 7:42:37,DHCP,1c6f65ad7720,
172.27.3.54,oisou-3124.nkmz.donetsk.ua,Reservation (inactive),None,00112fbe803d,
172.27.3.55,oisou-1665,Reservation (inactive),None,0030843a3f87,
172.27.3.56,oisou-5154vm.nkmz.donetsk.ua,05.06.2020 7:50:29,DHCP,080027892012,
172.27.3.57,oisou-6195.nkmz.donetsk.ua,28.05.2020 10:42:17,DHCP,000c29cb01ee,
172.27.3.58,oisou-5607.nkmz.donetsk.ua,Reservation (active),DHCP,50e549881d57,
172.27.3.59,,12.06.2020 11:43:29,DHCP,a445191a4371,
172.27.3.60,OISOU-6578.nkmz.donetsk.ua,12.06.2020 8:29:42,DHCP,e0d55e7bdff8,
172.27.3.61,oisou-5603.nkmz.donetsk.ua,Reservation (active),DHCP,50e549882fba,
172.27.3.63,oisou-3901.nkmz.donetsk.ua,Reservation (inactive),None,00112fadc63e,
172.27.3.65,oisou-5601.nkmz.donetsk.ua,Reservation (active),DHCP,50e54987a888,
172.27.3.66,oisou-5158.nkmz.donetsk.ua,Reservation (active),DHCP,902b342cefe8,
172.27.3.67,OISOU-5214.nkmz.donetsk.ua,Reservation (active),DHCP,1c6f6576d60c,
172.27.3.68,oisou-1862.nkmz.donetsk.ua,Reservation (inactive),None,00c026a15f2f,
172.27.3.69,oisou-5602.nkmz.donetsk.ua,Reservation (active),DHCP,50e549882987,
172.27.3.70,oisou-5261-a.nkmz.donetsk.ua,11.06.2020 8:01:11,DHCP,1c6f65ad7b6b,
172.27.3.71,oisou-1618.nkmz.donetsk.ua,Reservation (inactive),None,0080ad8bc71f,
172.27.3.72,oisou-1408.nkmz.donetsk.ua,Reservation (inactive),None,5254ab180041,
172.27.3.73,oisou-2612.nkmz.donetsk.ua,Reservation (inactive),None,0002b3b58f8c,
172.27.3.75,oisou-5166.nkmz.donetsk.ua,Reservation (active),DHCP,902b342cf527,
172.27.3.76,oisou-1663.nkmz.donetsk.ua,Reservation (inactive),None,00a0d215477a,
172.27.3.77,OISOU-5156.nkmz.donetsk.ua,Reservation (inactive),None,1c6f657699f6,
172.27.3.78,oisou-6345.nkmz.donetsk.ua,Reservation (active),DHCP,1c1b0db83bd3,
172.27.3.79,oisou-6195.nkmz.donetsk.ua,28.05.2020 11:47:24,DHCP,000c29cb01f8,
172.27.3.80,OISOU-5155.nkmz.donetsk.ua,Reservation (active),DHCP,902b342f8d95,
172.27.3.81,oisou-1385.nkmz.donetsk.ua,Reservation (inactive),None,000021043cea,
172.27.3.82,OISOU-5165.nkmz.donetsk.ua,11.06.2020 16:44:53,DHCP,1c6f65771d7e,
