Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.21.15.10,csi,Reservation (inactive),None,7786654487,
172.21.15.11,csi-3032.nkmz.donetsk.ua,Reservation (active),DHCP,0004acb9a169,
172.21.15.12,CSI-1645.nkmz.donetsk.ua,12.06.2020 7:34:24,DHCP,00a0d2154468,
172.21.15.13,ogmetr-2017.,12.06.2020 7:24:44,DHCP,00c026a163a1,
172.21.15.14,csi-4603.,18.05.2020 10:21:43,DHCP,001558477270,
172.21.15.15,csi-4185.nkmz.donetsk.ua,12.06.2020 6:17:33,DHCP,000021ece6e6,
172.21.15.16,csi-3953.nkmz.donetsk.ua,11.06.2020 9:21:08,DHCP,00112f9287a3,
172.21.15.17,csi-5712.nkmz.donetsk.ua,12.06.2020 6:45:46,DHCP,e0d55e38a7ae,
172.21.15.18,csi-2633.nkmz.donetsk.ua,21.05.2020 6:26:49,DHCP,00c026a4a80c,
172.21.15.19,CSI-3233.nkmz.donetsk.ua,12.06.2020 6:11:29,DHCP,00c0263126c8,
172.21.15.20,csi-1278.,12.06.2020 7:28:56,DHCP,001d601e7549,
172.21.15.21,best-73e0eeaa41.,12.06.2020 6:15:54,DHCP,001558114631,
172.21.15.22,TEXN-3299.NKMZ.DONETSK.UA,12.06.2020 8:59:12,DHCP,0002b3c88df6,
172.21.15.23,TEXN-4127.,12.06.2020 7:08:55,DHCP,00112f77a185,
172.21.15.25,csi-6156.nkmz.donetsk.ua,12.06.2020 12:49:37,DHCP,408d5c62a04d,
172.21.15.26,CSI-3228.nkmz.donetsk.ua,10.06.2020 19:48:06,DHCP,000c6e06f7b6,
172.21.15.27,csi-2763.nkmz.donetsk.ua,12.06.2020 6:57:19,DHCP,00e01899551a,
172.21.15.28,CSI-5935.nkmz.donetsk.ua,12.06.2020 8:13:01,DHCP,902b3407c4d2,
172.21.15.29,csi-2705.,12.06.2020 10:56:12,DHCP,00c026a46a02,
172.21.15.30,csi-5934-a.nkmz.donetsk.ua,12.06.2020 6:47:57,DHCP,902b3407bba4,
172.21.15.31,csi-3457.,12.06.2020 8:34:34,DHCP,0002b3cb5d8a,
172.21.15.32,inpcsi-5643.nkmz.donetsk.ua,12.06.2020 8:58:59,DHCP,50e549da3ce0,
172.21.15.33,csi-4504-a.,12.06.2020 6:51:54,DHCP,00c026a46c2b,
172.21.15.34,csi-2244.,26.05.2020 19:15:59,DHCP,00e01827073e,
172.21.15.35,INPCSI-5519.nkmz.donetsk.ua,12.06.2020 6:52:34,DHCP,00b0d078ebb2,
172.21.15.36,csi-3868.nkmz.donetsk.ua,07.06.2020 14:33:52,DHCP,00112fae8124,
172.21.15.37,csi-3387.nkmz.donetsk.ua,12.06.2020 6:04:15,DHCP,0002b3c88ecb,
172.21.15.38,csi-2029.nkmz.donetsk.ua,12.06.2020 6:53:27,DHCP,00e01846f0e4,
172.21.15.39,csi-1942.nkmz.donetsk.ua,Reservation (active),DHCP,00c026a16099,
172.21.15.40,NKMZ-3441.,11.06.2020 5:58:56,DHCP,0002b34c9f76,
172.21.15.41,DO500-PC.nkmz.donetsk.ua,12.06.2020 11:32:05,DHCP,10feed0239c3,
172.21.15.42,csi-1884.nkmz.donetsk.ua,12.06.2020 7:04:17,DHCP,00c026a156e1,
172.21.15.43,csi-4601.nkmz.donetsk.ua,18.05.2020 8:29:46,DHCP,00155848e09b,
172.21.15.44,csi-3467.nkmz.donetsk.ua,12.06.2020 9:14:39,DHCP,00c026a15e1a,
172.21.15.45,inpcsi-5657.nkmz.donetsk.ua,12.06.2020 10:04:16,DHCP,00b0d078ebb5,
172.21.15.46,csi-3164.nkmz.donetsk.ua,21.05.2020 6:41:56,DHCP,000c6e06f673,
172.21.15.47,csi-3848.nkmz.donetsk.ua,12.06.2020 7:07:30,DHCP,00112fadd66c,
172.21.15.48,csi-1849.,12.06.2020 6:59:04,DHCP,000021037c2d,
172.21.15.49,csi-4603.,12.06.2020 7:21:53,DHCP,5cd998f81dbc,
172.21.15.50,NKMZ-3453.,Reservation (active),DHCP,0002b3c24eea,
172.21.15.51,videocam,Reservation (active),DHCP,4419b66df283,
172.21.15.53,csi-2232.nkmz.donetsk.ua,Reservation (active),DHCP,00e018270f1c,
172.21.15.54,CSI-2630.,12.06.2020 8:03:32,DHCP,00c026a152b1,
172.21.15.55,CSI-3138.nkmz.donetsk.ua,12.06.2020 6:30:06,DHCP,000c6e06f681,
172.21.15.58,csi-3929.,12.06.2020 6:44:58,DHCP,001bfcf53ec6,
172.21.15.60,Videoregistrator,Reservation (inactive),None,112233445566,
172.21.15.63,csi-2632.nkmz.donetsk.ua,12.06.2020 11:33:01,DHCP,0002b3b58d8f,
172.21.15.64,csi-1533.,12.06.2020 6:58:45,DHCP,008048b59814,
172.21.15.66,csi-1877.nkmz.donetsk.ua,12.06.2020 6:19:20,DHCP,00c0262891be,
