Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.23.0.10,ogmet-2598-a.,Reservation (active),DHCP,1c6f654cdddd,
172.23.0.11,ogmet-5843.nkmz.donetsk.ua,12.06.2020 7:44:02,DHCP,902b349d625d,
172.23.0.12,ogmetr-2581.nkmz.donetsk.ua,12.06.2020 6:48:59,DHCP,00e0812233f1,
172.23.0.13,ogmetr-4101.,12.06.2020 7:39:02,DHCP,00112f68cf11,
172.23.0.14,ogmetr-3716.nkmz.donetsk.ua,12.06.2020 6:47:58,DHCP,RAS,
172.23.0.15,ogmet-6241.nkmz.donetsk.ua,12.06.2020 6:18:01,DHCP,1c1b0d258744,
172.23.0.16,ogmetr-6398.,02.05.2020 14:19:48,DHCP,00e04ceb1055,
172.23.0.17,ogmet-5266.nkmz.donetsk.ua,12.06.2020 7:24:43,DHCP,1c6f65ad806b,
172.23.0.18,ogmet-6232.nkmz.donetsk.ua,12.06.2020 7:55:50,DHCP,1c1b0d25956d,
172.23.0.19,ogt-6450.nkmz.donetsk.ua,12.06.2020 7:04:38,DHCP,e0d55e0c9afa,
172.23.0.20,ogmetr-2693.nkmz.donetsk.ua,12.06.2020 7:01:55,DHCP,RAS,
172.23.0.21,nkm-5590.nkmz.donetsk.ua,12.06.2020 8:58:51,DHCP,50e549881e27,
172.23.0.22,ogmet-6717.nkmz.donetsk.ua,12.06.2020 12:32:38,DHCP,e0d55e7b62bf,
172.23.0.23,dirmp-2817-a.nkmz.donetsk.ua,12.06.2020 7:58:10,DHCP,705ab6603c90,
172.23.0.24,pvandeo-6440.nkmz.donetsk.ua,12.06.2020 7:52:09,DHCP,e0d55e041c3f,
172.23.0.25,ogt-4668.nkmz.donetsk.ua,12.06.2020 7:36:16,DHCP,0014c2e0e1e2,
172.23.0.26,ogs-4393.nkmz.donetsk.ua,Reservation (active),DHCP,0017311a9c83,
172.23.0.27,loos-2641.nkmz.donetsk.ua,12.06.2020 8:22:20,DHCP,00c026a4ac0c,
172.23.0.28,ogmet-5838.nkmz.donetsk.ua,12.06.2020 7:55:38,DHCP,902b349d58cb,
172.23.0.29,ogmet-5628-a.nkmz.donetsk.ua,12.06.2020 8:00:46,DHCP,RAS,
172.23.0.30,ogmet-1785.,Reservation (active),DHCP,e0cb4eb62dc1,
172.23.0.31,OGS-6039.nkmz.donetsk.ua,12.06.2020 3:55:12,DHCP,902b3409c90a,
172.23.0.32,ogmet-5142.nkmz.donetsk.ua,11.06.2020 7:31:15,DHCP,1c6f6556419d,
172.23.0.33,ogmet-5831.ƒыкань,12.06.2020 7:04:49,DHCP,1c1b0dc42bd8,
172.23.0.34,PVANDEO-4448.nkmz.donetsk.ua,12.06.2020 8:39:00,DHCP,6cf049d0cf5a,
172.23.0.35,ogmet-3789.,12.06.2020 8:01:37,DHCP,000ea6947a2b,
172.23.0.36,ogmet-4121.,12.06.2020 6:55:02,DHCP,00c026a13e1c,
172.23.0.37,ogmet-3992.nkmz.donetsk.ua,12.06.2020 7:21:44,DHCP,0011d8468274,
172.23.0.38,ogmet-5271.nkmz.donetsk.ua,11.06.2020 7:50:17,DHCP,1c6f65ae5432,
172.23.0.39,ogmet-6126.nkmz.donetsk.ua,12.06.2020 8:10:43,DHCP,408d5c629805,
172.23.0.40,ogmet-3834.,12.06.2020 7:38:24,DHCP,00112febfbbf,
172.23.0.41,ogmet-3830.nkmz.donetsk.ua,12.06.2020 8:07:33,DHCP,00112febfb86,
172.23.0.42,ogmet-6233.nkmz.donetsk.ua,12.06.2020 7:56:02,DHCP,408d5cad7ca1,
172.23.0.43,pvandeo210-4.nkmz.donetsk.ua,12.06.2020 7:51:58,DHCP,0013d46d639d,
172.23.0.44,ogmet-3990.nkmz.donetsk.ua,18.05.2020 7:54:21,DHCP,0011d84682d3,
172.23.0.45,PVANDEO-6441.nkmz.donetsk.ua,12.06.2020 7:58:54,DHCP,e0d55e03dad7,
172.23.0.46,pvandeo-1425.,28.05.2020 13:29:32,DHCP,000e0c746e61,
172.23.0.47,ogmet-6025.nkmz.donetsk.ua,22.05.2020 11:35:37,DHCP,902b34085d30,
172.23.0.48,Pvandeo-2123.nkmz.donetsk.ua,11.06.2020 8:13:39,DHCP,001fc6def465,
172.23.0.49,ogmet-3831.nkmz.donetsk.ua,11.06.2020 13:41:04,DHCP,00112febff2d,
172.23.0.50,ogmet-3833.,11.06.2020 8:18:39,DHCP,00112febfbc2,
172.23.0.51,OMIKMP-5954.nkmz.donetsk.ua,12.06.2020 7:53:44,DHCP,902b3407baef,
172.23.0.52,OGMET-5833.nkmz.donetsk.ua,12.06.2020 9:56:41,DHCP,4cedfbcb9211,
172.23.0.53,ogmet-3993.nkmz.donetsk.ua,01.06.2020 8:11:32,DHCP,0011d84682f1,
172.23.0.54,Canon58C8D9.nkmz.donetsk.ua,12.06.2020 11:58:46,DHCP,9c32ce58c8d9,
172.23.0.55,ogmet-4467.nkmz.donetsk.ua,12.06.2020 7:50:19,DHCP,001731b29068,
172.23.0.56,ogmet-6709.nkmz.donetsk.ua,12.06.2020 12:35:11,DHCP,e0d55e7bdfa5,
172.23.0.57,ogmet-6228.nkmz.donetsk.ua,12.06.2020 7:22:32,DHCP,1c1b0d259429,
172.23.0.58,pdomp-1856.,11.06.2020 16:54:09,DHCP,00c026a15ca9,
172.23.0.59,ogmet-5270.nkmz.donetsk.ua,12.06.2020 7:52:09,DHCP,1c6f65ad819f,
172.23.0.60,Canon58B769.nkmz.donetsk.ua,12.06.2020 10:49:59,DHCP,9c32ce58b769,
172.23.0.61,ogmet-6122.nkmz.donetsk.ua,12.06.2020 7:52:15,DHCP,408d5c6297dc,
172.23.0.62,CanonDECF1D.nkmz.donetsk.ua,12.06.2020 7:38:34,DHCP,001e8fdecf1d,
172.23.0.63,ogmet-4956.,31.05.2020 7:55:21,DHCP,001bfcac11f2,
172.23.0.64,ogmetr-3716.nkmz.donetsk.ua,12.06.2020 6:47:43,DHCP,0003020f0a10,
172.23.0.65,CanonBBEC7B.nkmz.donetsk.ua,12.06.2020 9:57:15,DHCP,f48139bbec7b,
172.23.0.66,BMKPM-5309.nkmz.donetsk.ua,12.06.2020 8:00:28,DHCP,1c6f65ad8182,
172.23.0.67,Canon58C984.nkmz.donetsk.ua,12.06.2020 8:21:57,DHCP,9c32ce58c984,
172.23.0.68,ogmetr-3042.,12.06.2020 6:26:50,DHCP,0002b3c88f23,
172.23.0.69,PvandEO-2119.nkmz.donetsk.ua,12.06.2020 8:01:31,DHCP,00e01826d04d,
172.23.0.70,ogmet-3406.,12.06.2020 7:47:30,DHCP,000ea650fa7e,
