Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.21.11.20,ceh16-617a.nkmz.donetsk.ua,12.06.2020 6:05:41,DHCP,00155847726c,
172.21.11.21,CEH16-3709.,05.06.2020 6:43:21,DHCP,000ea64f943c,
172.21.11.22,ceh16-1280.nkmz.donetsk.ua,Reservation (inactive),None,00d0b7169562,
172.21.11.23,ПРБ, Сержантова Е.В. т.58-01.nkmz.donetsk.ua,12.06.2020 7:00:10,DHCP,0013d4b3908b,
172.21.11.24,ceh16-2048.,12.06.2020 6:44:45,DHCP,00c026a49a09,
172.21.11.25,ceh16-4245.,12.06.2020 7:02:19,DHCP,0013d4b38dec,
172.21.11.26,ceh16-3147.,12.06.2020 6:48:04,DHCP,000c6e06f635,
172.21.11.27,ceh16-3889.nkmz.donetsk.ua,12.06.2020 7:04:25,DHCP,00112fadd68a,
172.21.11.28,ceh16-2811.nkmz.donetsk.ua,12.06.2020 6:56:40,DHCP,00e0189798d9,
172.21.11.29,ceh16-4183.nkmz.donetsk.ua,12.06.2020 8:56:59,DHCP,00112fe55e6d,
172.21.11.31,Ceh16-2317.nkmz.donetsk.ua,22.05.2020 19:00:23,DHCP,00e01826cba7,
172.21.11.32,ceh16-3434.,12.06.2020 6:59:30,DHCP,00a0d21d92fe,
172.21.11.33,otk-2448.nkmz.donetsk.ua,12.06.2020 12:21:10,DHCP,00c026a89e7b,
172.21.11.34,ceh16-4626.nkmz.donetsk.ua,12.06.2020 6:38:32,DHCP,00138fc3b0ce,
172.21.11.35,ceh16-3888.,12.06.2020 6:49:08,DHCP,00112f992306,
172.21.11.36,NKMZ-3660.,12.06.2020 7:34:42,DHCP,000ea688e778,
172.21.11.37,ceh16-4268.,12.06.2020 6:49:28,DHCP,0013d4fb51ad,
172.21.11.38,ceh16-3451.,12.06.2020 6:03:26,DHCP,0002b34c9dce,
172.21.11.39,ОТК, Квасенко А.А., т.84-02.,12.06.2020 8:48:19,DHCP,00c026a47bcf,
172.21.11.40,Ceh16-4620.,12.06.2020 6:29:14,DHCP,0015f2c29b66,
172.21.11.41,ceh16-2334.,12.06.2020 7:06:10,DHCP,008048b7e0e7,
172.21.11.42,Ceh16-1683.nkmz.donetsk.ua,12.06.2020 9:38:53,DHCP,0001022c6f0d,
172.21.11.43,ceh16-1993.,12.06.2020 6:09:16,DHCP,00c026a4a9af,
172.21.11.44,ceh16-5874.nkmz.donetsk.ua,12.06.2020 9:31:21,DHCP,902b3408890f,
172.21.11.45,NKMZ-3661.,12.06.2020 12:12:50,DHCP,000ea688e9b1,
172.21.11.46,ceh16-1790.nkmz.donetsk.ua,12.06.2020 6:19:43,DHCP,00c026a15e98,
172.21.11.47,Ceh16-4600.nkmz.donetsk.ua,12.06.2020 6:59:07,DHCP,00155848e0a0,
172.21.11.48,ceh16-2526.,12.06.2020 6:28:02,DHCP,00e018759605,
172.21.11.49,Ceh16-2103.,02.05.2020 7:35:56,DHCP,0002b3b55b5f,
172.21.11.50,Ceh16-2125.,12.06.2020 6:33:26,DHCP,00e01826e17e,
172.21.11.51,ceh16-3806.,12.06.2020 11:30:48,DHCP,0000210081db,
172.21.11.52,csh-5948.nkmz.donetsk.ua,12.06.2020 6:52:08,DHCP,902b3407419b,
172.21.11.53,csh-6089.nkmz.donetsk.ua,12.06.2020 7:01:22,DHCP,fcaa1466bf85,
172.21.11.54,Ceh16-1463.,31.05.2020 19:40:09,DHCP,008048b59675,
172.21.11.55,ceh16-2429.,Reservation (active),DHCP,00c026a8a506,
172.21.11.56,ceh16-5876.nkmz.donetsk.ua,12.06.2020 6:57:34,DHCP,902b3407bea2,
172.21.11.57,ceh16-5873.nkmz.donetsk.ua,12.06.2020 6:44:17,DHCP,50e549a522c1,
172.21.11.58,ceh16-5875.nkmz.donetsk.ua,12.06.2020 8:55:26,DHCP,50e549a522ee,
172.21.11.59,ceh16-1721.nkmz.donetsk.ua,12.06.2020 7:07:33,DHCP,00c0262d04d9,
172.21.11.60,CEH16-5877.nkmz.donetsk.ua,12.06.2020 8:16:41,DHCP,902b3408a867,
172.21.11.61,ceh16-3287.,12.06.2020 6:45:07,DHCP,000021fec3f1,
172.21.11.62,Ceh16-2221.nkmz.donetsk.ua,12.06.2020 6:54:31,DHCP,00e0180a0ce0,
172.21.11.63,Ceh16-6551.nkmz.donetsk.ua,12.06.2020 7:29:06,DHCP,e0d55ebe1a28,
172.21.11.64,ceh16-3412.nkmz.donetsk.ua,12.06.2020 6:44:01,DHCP,0002b3c88beb,
172.21.11.65,CEH16-2222.,12.06.2020 7:32:07,DHCP,008048de7ad1,
172.21.11.67,ceh16-3397.nkmz.donetsk.ua,12.06.2020 6:51:35,DHCP,0002b3c88cb1,
172.21.11.68,Ceh16-2077.,11.06.2020 7:17:42,DHCP,00c026a18afe,
172.21.11.69,Ceh16-6155.nkmz.donetsk.ua,12.06.2020 7:05:02,DHCP,408d5c629c6e,
172.21.11.70,Ceh16-6550.nkmz.donetsk.ua,12.06.2020 6:52:25,DHCP,e0d55ebe17e6,
172.21.11.72,ceh16-3383.nkmz.donetsk.ua,12.06.2020 7:05:49,DHCP,0002b3c88cca,
172.21.11.73,ceh16-3807.,12.06.2020 6:32:25,DHCP,000ea697f14e,
172.21.11.74,ceh16-2066.nkmz.donetsk.ua,12.06.2020 7:04:05,DHCP,00e01826cad5,
