Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.17.4.2,OIO-DISP_TEST.nkmz.donetsk.ua,08.06.2020 9:41:27,DHCP,7824af348fd6,
172.17.4.3,nkmz-6685.nkmz.donetsk.ua,12.06.2020 8:08:37,DHCP,e0d55e7b5f22,
172.17.4.4,OGT-6695.nkmz.donetsk.ua,12.06.2020 7:32:04,DHCP,e0d55e7c4d59,
172.17.4.5,ogt-5807.nkmz.donetsk.ua,12.06.2020 6:38:07,DHCP,1c1b0dd3b558,
172.17.4.6,OGT-6485.nkmz.donetsk.ua,12.06.2020 7:53:04,DHCP,1c1b0dbea24a,
172.17.4.7,ogt-5476.nkmz.donetsk.ua,11.06.2020 6:54:54,DHCP,1c6f65a700a0,
172.17.4.8,ogt-2319,Reservation (inactive),None,00e01826fe46,
172.17.4.9,ogt-4934.nkmz.donetsk.ua,12.06.2020 7:13:13,DHCP,001bfcae33fc,
172.17.4.10,nkmz-5079.,29.05.2020 18:40:21,DHCP,00235410a362,
172.17.4.11,OGT-6204-A.nkmz.donetsk.ua,05.06.2020 9:16:29,DHCP,408d5ca5d713,
172.17.4.12,OGT-4737.,12.06.2020 6:58:15,DHCP,00c026a18823,
172.17.4.13,ogt-5292.nkmz.donetsk.ua,12.06.2020 6:52:30,DHCP,1c6f65ad8076,
172.17.4.14,hozceh-1346.nkmz.donetsk.ua,12.06.2020 6:34:41,DHCP,RAS,
172.17.4.15,ogt-2341.,Reservation (active),DHCP,00e01826ee4d,
172.17.4.16,ogt-3401.nkmz.donetsk.ua,Reservation (active),DHCP,0002b3c88cc6,
172.17.4.17,ogt-5290.nkmz.donetsk.ua,12.06.2020 7:01:53,DHCP,1c6f65ad76f9,
172.17.4.18,ogtsp-5802.nkmz.donetsk.ua,12.06.2020 6:44:19,DHCP,1c1b0dc09a36,
172.17.4.19,ogt-6269.nkmz.donetsk.ua,12.06.2020 6:46:44,DHCP,408d5ca82957,
172.17.4.20,OGT-5283.nkmz.donetsk.ua,12.06.2020 6:48:19,DHCP,1c6f65ad7fab,
172.17.4.21,ogt-6683-a.nkmz.donetsk.ua,12.06.2020 6:55:27,DHCP,e0d55e7bdfb2,
172.17.4.22,ogt-6206.nkmz.donetsk.ua,11.06.2020 10:45:54,DHCP,408d5ca5d319,
172.17.4.23,kcp-4513.nkmz.donetsk.ua,01.06.2020 8:08:32,DHCP,00155848e07a,
172.17.4.24,nkmz-6445.nkmz.donetsk.ua,12.06.2020 6:58:22,DHCP,e0d55e0c9b07,
172.17.4.25,ogt-5794.nkmz.donetsk.ua,12.06.2020 6:49:40,DHCP,1c1b0dc09a3a,
