Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.22.109.10,crb-5180.gb.nkmz.donetsk.ua,31.05.2020 10:32:24,DHCP,1c6f65769a48,
172.22.109.11,CanonBBECB0.nkmz.donetsk.ua,12.06.2020 7:48:19,DHCP,f48139bbecb0,
172.22.109.12,hplj5100.nkmz.donetsk.ua,12.06.2020 6:52:59,DHCP,0001e64e69c8,
172.22.109.13,crb-3245.gb.nkmz.donetsk.ua,12.06.2020 6:43:19,DHCP,001d600e2d11,
172.22.109.15,crb-6502.nkmz.donetsk.ua,12.06.2020 6:53:06,DHCP,e0d55eb50285,
172.22.109.16,gb-6496.nkmz.donetsk.ua,12.06.2020 7:20:16,DHCP,e0d55eb7ecda,
172.22.109.17,crb-6497.nkmz.donetsk.ua,12.06.2020 6:26:37,DHCP,e0d55eb6c71b,
172.22.109.18,crb-1730.gb.nkmz.donetsk.ua,12.06.2020 12:02:03,DHCP,0013d471a52b,
172.22.109.20,gb-6504.nkmz.donetsk.ua,12.06.2020 8:06:01,DHCP,e0d55eb6cdf6,
172.22.109.22,crb-2876.gb.nkmz.donetsk.ua,12.06.2020 6:43:01,DHCP,00e018bfd7f2,
172.22.109.23,gb-6613.nkmz.donetsk.ua,12.06.2020 11:13:01,DHCP,e0d55e79ba4e,
172.22.109.24,crb-6503.nkmz.donetsk.ua,12.06.2020 6:49:35,DHCP,e0d55eb6ca26,
172.22.109.25,CRB-4501.gb.nkmz.donetsk.ua,12.06.2020 6:54:12,DHCP,00155848e0e4,
172.22.109.27,CRB-5962.gb.nkmz.donetsk.ua,12.06.2020 8:05:52,DHCP,902b3407b998,
172.22.109.34,crb-3242.gb.nkmz.donetsk.ua,12.06.2020 6:46:31,DHCP,000c6e0b75e4,
172.22.109.35,CRB-5896.gb.nkmz.donetsk.ua,12.06.2020 7:01:38,DHCP,902b3407beda,
172.22.109.36,crb-3239.gb.nkmz.donetsk.ua,12.06.2020 7:46:53,DHCP,000c6e0b778d,
172.22.109.43,crb-5344.nkmz.donetsk.ua,12.06.2020 7:31:41,DHCP,1c6f65ad7e8f,
172.22.109.51,crb-5859,Reservation (inactive),None,8787867548,error
172.22.109.53,CRB-5902.gb.nkmz.donetsk.ua,12.06.2020 6:54:15,DHCP,902b34085a1a,
172.22.109.54,crb-5899.gb.nkmz.donetsk.ua,12.06.2020 8:09:38,DHCP,902b34080b38,
172.22.109.55,CRB-5912.gb.nkmz.donetsk.ua,12.06.2020 7:41:18,DHCP,902b3407bbaa,
172.22.109.56,gb-5897.gb.nkmz.donetsk.ua,12.06.2020 6:36:56,DHCP,902b3407be07,
172.22.109.57,crb-5901.gb.nkmz.donetsk.ua,12.06.2020 6:26:39,DHCP,902b34080a26,
