Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.26.4.10,omkgrkpo-6133.nkmz.donetsk.ua,12.06.2020 12:00:16,DHCP,408d5c629101,
172.26.4.11,dir-snv.nkmz.donetsk.ua,12.06.2020 8:47:51,DHCP,0002b34c9e7a,
172.26.4.12,CanonBBECA9.nkmz.donetsk.ua,11.06.2020 8:04:57,DHCP,f48139bbeca9,
172.26.4.13,breo-osu.nkmz.donetsk.ua,12.06.2020 7:57:03,DHCP,001bfc380119,
172.26.4.14,breo-llo.nkmz.donetsk.ua,12.06.2020 7:42:15,DHCP,902b34a0337b,
172.26.4.15,breo-vven.nkmz.donetsk.ua,12.06.2020 6:39:43,DHCP,1c6f65a7007d,
172.26.4.16,bzm-kra.nkmz.donetsk.ua,12.06.2020 7:33:28,DHCP,1c6f65ad7900,
172.26.4.17,dir-bvg.,01.06.2020 8:07:07,DHCP,008048b5182f,
172.26.4.18,bzm-poa.nkmz.donetsk.ua,12.06.2020 7:58:18,DHCP,1c6f65a700e3,
172.26.4.19,bzm-vae.nkmz.donetsk.ua,Reservation (active),DHCP,001bfcaac437,
172.26.4.20,bzm-tba.nkmz.donetsk.ua,Reservation (active),DHCP,001bfc3800a3,
172.26.4.21,nkmz-6563.nkmz.donetsk.ua,12.06.2020 8:11:05,DHCP,e0d55ebe18a3,
172.26.4.22,minint-a88sfg0.nkmz.donetsk.ua,04.05.2020 8:20:12,DHCP,1c6f65a70079,
172.26.4.24,bgm-shov.nkmz.donetsk.ua,12.06.2020 7:52:19,DHCP,1c6f65a70061,
172.26.4.26,omkgrkpo-6037.nkmz.donetsk.ua,12.06.2020 8:01:38,DHCP,902b3409c52d,
172.26.4.27,bzm-las.nkmz.donetsk.ua,12.06.2020 7:55:40,DHCP,1c6f65ad7b3e,
172.26.4.28,omkgrkpo-6036.nkmz.donetsk.ua,12.06.2020 8:05:40,DHCP,902b3407987a,
172.26.4.29,BZM-SHDA.nkmz.donetsk.ua,Reservation (inactive),None,0015f244c402,
172.26.4.30,BAD_ADDRESS,12.08.2015 10:50:13,DHCP,1e041aac,Этот IP-адрес уже используется
172.26.4.31,DIR-MSL.nkmz.donetsk.ua,Reservation (inactive),None,0013775bae10,
172.26.4.32,BAD_ADDRESS,15.10.2012 9:34:51,DHCP,20041aac,Этот IP-адрес уже используется
172.26.4.33,fatherfr-7edda0.,06.06.2020 10:00:52,DHCP,0003ffa93cde,
172.26.4.34,bgm-srv.nkmz.donetsk.ua,Reservation (active),DHCP,000ea688e7f3,
172.26.4.35,BGM-CAU.nkmz.donetsk.ua,Reservation (inactive),None,00c026a15cb8,
172.26.4.36,BGM-VVP.nkmz.donetsk.ua,Reservation (inactive),None,000ea688ea3b,
172.26.4.37,BGM-KTI.nkmz.donetsk.ua,Reservation (inactive),None,0015f244c3f9,
172.26.4.38,BAD_ADDRESS,21.05.2018 9:53:10,DHCP,26041aac,Этот IP-адрес уже используется
172.26.4.39,BAD_ADDRESS,11.10.2012 11:51:38,DHCP,27041aac,Этот IP-адрес уже используется
172.26.4.40,bzm-pov.nkmz.donetsk.ua,12.06.2020 7:39:43,DHCP,001bfc380188,
172.26.4.41,bea-.nkmz.donetsk.ua,Reservation (active),DHCP,000ea688e9e1,
172.26.4.42,BAD_ADDRESS,11.11.2019 15:29:31,DHCP,2a041aac,Этот IP-адрес уже используется
172.26.4.43,BAD_ADDRESS,17.01.2014 10:16:43,DHCP,2b041aac,Этот IP-адрес уже используется
172.26.4.44,breo-bvm.nkmz.donetsk.ua,12.06.2020 8:00:49,DHCP,e0d55e7be133,
172.26.4.45,dir-gvg.,12.06.2020 8:04:12,DHCP,0030843a3f7e,
172.26.4.46,dir-sua1.,Reservation (active),DHCP,00238bb75025,
172.26.4.47,BGM-UAL.nkmz.donetsk.ua,Reservation (inactive),None,0002b34c9ed5,
172.26.4.48,BGM,Reservation (inactive),None,334422116622,
172.26.4.49,bpto-tyr32.nkmz.donetsk.ua,Reservation (active),DHCP,001bfc3800bf,
172.26.4.50,omkgrkpo-3603.nkmz.donetsk.ua,12.06.2020 8:00:23,DHCP,000ea688e612,
172.26.4.51,nkmz-6548.nkmz.donetsk.ua,12.06.2020 7:59:56,DHCP,e0d55ebe186f,
172.26.4.52,OMKGRKPO-6035.nkmz.donetsk.ua,12.06.2020 8:02:57,DHCP,902b3407b98e,
172.26.4.53,BGM-KEN.nkmz.donetsk.ua,Reservation (inactive),None,0015f244c9b8,
172.26.4.54,bgm-cau.nkmz.donetsk.ua,12.06.2020 7:48:50,DHCP,1c6f65ad7b3a,
172.26.4.55,bdso-mas.nkmz.donetsk.ua,12.06.2020 8:06:08,DHCP,902b34a01a62,
172.26.4.56,bzm-slv.nkmz.donetsk.ua,Reservation (active),DHCP,001bfcaac4fc,
172.26.4.57,bdso-dva.nkmz.donetsk.ua,11.06.2020 11:01:07,DHCP,001bfcac0bb4,
