Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.22.102.10,cpb-4039.gb.nkmz.donetsk.ua,12.06.2020 6:25:10,DHCP,00112fe73d74,
172.22.102.11,cpb-5903.gb.nkmz.donetsk.ua,12.06.2020 7:26:56,DHCP,902b3407ab68,
172.22.102.12,cpb-4006.gb.nkmz.donetsk.ua,12.06.2020 8:47:26,DHCP,00112fe73b14,
172.22.102.13,cpb-5905.gb.nkmz.donetsk.ua,12.06.2020 7:28:27,DHCP,902b3407bea0,
172.22.102.14,cpb-4010.gb.nkmz.donetsk.ua,12.06.2020 7:16:42,DHCP,00112fe73ace,
172.22.102.15,cpb-6501.nkmz.donetsk.ua,12.06.2020 6:36:39,DHCP,e0d55eb50288,
172.22.102.16,cpb-4007.gb.nkmz.donetsk.ua,12.06.2020 7:56:56,DHCP,00112fe73ac7,
172.22.102.17,cpb-4016.gb.nkmz.donetsk.ua,12.06.2020 7:15:52,DHCP,00112fe73713,
172.22.102.19,cpb-6500.nkmz.donetsk.ua,12.06.2020 7:54:47,DHCP,e0d55eb6ca25,
172.22.102.20,cpb-6499.nkmz.donetsk.ua,12.06.2020 8:06:24,DHCP,e0d55ebe1766,
172.22.102.21,gb-5858.gb.nkmz.donetsk.ua,12.06.2020 6:54:02,DHCP,902b349d58c7,
172.22.102.22,CPB-5910.gb.nkmz.donetsk.ua,12.06.2020 7:47:42,DHCP,902b3407c71c,
172.22.102.24,cpb-5854.nkmz.donetsk.ua,12.06.2020 7:38:36,DHCP,902b34a01986,
172.22.102.25,cpb-4036.gb.nkmz.donetsk.ua,12.06.2020 7:10:06,DHCP,00112fe73ab7,
172.22.102.26,cpb-4041.gb.nkmz.donetsk.ua,12.06.2020 7:19:08,DHCP,00112fe73c78,
172.22.102.27,cpb-5852.gb.nkmz.donetsk.ua,12.06.2020 6:50:09,DHCP,4cedfbcb91af,
172.22.102.29,gb-5857.nkmz.donetsk.ua,01.06.2020 8:26:08,DHCP,902b34a01973,
172.22.102.30,cpb-4004.gb.nkmz.donetsk.ua,12.06.2020 7:13:54,DHCP,00112fe73d69,
172.22.102.31,cpb-6498.nkmz.donetsk.ua,12.06.2020 6:18:06,DHCP,e0d55eb6cc14,
172.22.102.32,cpb-4019.gb.nkmz.donetsk.ua,12.06.2020 6:55:34,DHCP,00112fe73a94,
172.22.102.34,CPB-5904.gb.nkmz.donetsk.ua,11.06.2020 6:33:42,DHCP,902b3407be10,
172.22.102.37,cpb-5909.gb.nkmz.donetsk.ua,12.06.2020 7:04:37,DHCP,902b3409c1bd,
172.22.102.38,CPB-5907.gb.nkmz.donetsk.ua,12.06.2020 7:59:28,DHCP,902b3407c70d,
172.22.102.42,CPB-5906.gb.nkmz.donetsk.ua,12.06.2020 7:11:22,DHCP,902b3407c7c5,
172.22.102.43,CPB-5911.gb.nkmz.donetsk.ua,12.06.2020 6:57:24,DHCP,902b3409c7e4,
172.22.102.45,cpb-4014.gb.nkmz.donetsk.ua,12.06.2020 6:38:32,DHCP,00112fe73b2b,
172.22.102.48,cpb-4035.gb.nkmz.donetsk.ua,12.06.2020 8:04:48,DHCP,00112fe73abe,
172.22.102.49,cpb-4030.gb.nkmz.donetsk.ua,12.06.2020 7:03:40,DHCP,00112fe73ac8,
172.22.102.50,cpb-4022.gb.nkmz.donetsk.ua,12.06.2020 7:03:18,DHCP,00112fe739d0,
172.22.102.52,cpb-4031.gb.nkmz.donetsk.ua,12.06.2020 7:04:37,DHCP,00112fe73ab8,
172.22.102.54,cpb-4029.gb.nkmz.donetsk.ua,12.06.2020 7:19:04,DHCP,00112fe73d21,
172.22.102.58,cpb-4005.gb.nkmz.donetsk.ua,12.06.2020 7:04:10,DHCP,00112fe73ac3,
172.22.102.67,CPB-3524.gb.nkmz.donetsk.ua,11.06.2020 8:02:18,DHCP,000c6edd00e2,
172.22.102.68,CPB-3523.gb.nkmz.donetsk.ua,12.06.2020 7:16:35,DHCP,000c6edd065f,
172.22.102.69,cpb-3525.gb.nkmz.donetsk.ua,12.06.2020 6:55:02,DHCP,000c6edd061a,
172.22.102.70,cpb-2889.gb.nkmz.donetsk.ua,Reservation (active),DHCP,00e018d58d3b,
172.22.102.101,NPIE0D1F3.nkmz.donetsk.ua,Reservation (active),BOOTP,000e7fe0d1f3,
