Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.21.2.20,KB-5627.nkmz.donetsk.ua,12.06.2020 8:56:15,DHCP,4cedfbc9a0a1,
172.21.2.21,ogs-3290.nkmz.donetsk.ua,12.06.2020 6:25:18,DHCP,RAS,
172.21.2.22,ogs-3290.nkmz.donetsk.ua,12.06.2020 6:25:26,DHCP,RAS,
172.21.2.23,ogs-3290.nkmz.donetsk.ua,12.06.2020 6:24:26,DHCP,0002b3c88f6c,
172.21.2.24,pm-6309.nkmz.donetsk.ua,12.06.2020 7:49:18,DHCP,1c1b0db83218,
172.21.2.25,nkmz-6734.nkmz.donetsk.ua,07.06.2020 9:04:58,DHCP,e0d55e7bdeda,
172.21.2.27,kb-6615.nkmz.donetsk.ua,12.06.2020 7:18:57,DHCP,e0d55e79bc0a,
172.21.2.28,nkmz.5205.nkmz.donetsk.ua,Reservation (inactive),None,1c6f65769a7e,
172.21.2.29,OGS-3593.,12.06.2020 6:32:05,DHCP,00308427f9d8,
172.21.2.31,dirpsm-2978.nkmz.donetsk.ua,Reservation (active),DHCP,0004acd994b5,
172.21.2.33,ogt-6334.nkmz.donetsk.ua,08.06.2020 14:39:09,DHCP,1c1b0db83bb2,
172.21.2.35,pm-6438.nkmz.donetsk.ua,12.06.2020 8:00:34,DHCP,e0d55e05f319,
172.21.2.36,CanonBB6D1F.nkmz.donetsk.ua,12.06.2020 8:08:57,DHCP,f48139bb6d1f,
172.21.2.37,texn-3309.nkmz.donetsk.ua,31.05.2020 6:58:19,DHCP,0002b3c88cc8,
172.21.2.38,KB-5818.nkmz.donetsk.ua,12.06.2020 6:52:14,DHCP,902b349d5a63,
172.21.2.39,texn-3311.nkmz.donetsk.ua,12.06.2020 7:14:48,DHCP,5cd998f81dbe,
172.21.2.40,ogs-3292.,12.06.2020 7:59:30,DHCP,0002b3c88bd5,
172.21.2.41,ogs-4967.,12.06.2020 6:32:53,DHCP,001bfcae3398,
172.21.2.42,OMIK-737.nkmz.donetsk.ua,Reservation (active),DHCP,00a0d2154749,
172.21.2.43,OmikPSM-702.nkmz.donetsk.ua,Reservation (active),DHCP,00a0d2154719,
172.21.2.44,ODIR-3815.nkmz.donetsk.ua,12.06.2020 8:03:42,DHCP,00112f04ceb8,
172.21.2.46,ogt-6205.nkmz.donetsk.ua,11.06.2020 6:46:57,DHCP,408d5cad7416,
172.21.2.48,Mh14-4561.nkmz.donetsk.ua,12.06.2020 6:55:06,DHCP,00155848e106,
